City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,wloclawek,52.6482,19.0678,9.18,55,100,5.94,PL,1741200740
310,saipan,15.1355,145.701,26.47,86,0,4.63,MP,1741200741
311,bardai,11.65,7.2333,28.57,10,0,4.8,NG,1741200742
312,angatuba,-23.4897,-48.4128,30.36,43,68,4.62,BR,1741200723
313,horta,38.5333,-28.6333,15.01,81,75,7.2,PT,1741200746
314,binbrook,43.121,-79.804,7.27,97,100,4.12,CA,1741200747
315,dobroye,52.8678,39.8109,1.12,98,100,4.39,RU,1741200749
316,bilibino,68.0546,166.4372,-29.26,97,100,0.68,RU,1741200750
317,kidal,18.4411,1.4078,31.78,8,6,3.57,ML,1741200751
318,piti village,13.4626,144.6933,27.03,86,0,4.12,GU,1741200752
319,nabire,-3.3667,135.4833,24.54,93,100,1.47,ID,1741200753
320,kisangani,0.5167,25.2,23.91,85,94,0.39,CD,1741200755
321,brookings,44.3114,-96.7984,-1.42,62,0,13.38,US,1741200758
322,toliara,-23.35,43.6667,26.31,85,1,2.01,MG,1741200759
323,san patricio,28.017,-97.5169,21.97,25,0,5.33,US,1741200760
324,kupang,-10.1667,123.5833,25.32,100,75,1.54,ID,1741200762
325,zaragoza,41.6561,-0.8773,13.25,63,0,4.12,ES,1741200506
326,latehar,23.75,84.5,14.3,15,0,1.98,IN,1741200764
327,santo antonio de padua,-21.5394,-42.1803,32.37,38,1,3.73,BR,1741200765
328,bago,17.3367,96.4797,22.63,48,6,2.92,MM,1741200767
329,ambodifotatra,-16.9833,49.85,27.93,71,14,1.86,MG,1741200768
330,bhawana,31.5692,72.649,13.97,26,7,2.2,PK,1741200769
331,campos dos goytacazes,-21.75,-41.3,31.03,58,20,6.17,BR,1741200770
332,mikumi,-7.4041,36.9831,25.21,62,62,2.04,TZ,1741200773
333,soto la marina,23.7667,-98.2167,31.27,9,8,2.84,MX,1741200774
334,vila velha,-20.3297,-40.2925,28.97,65,20,4.63,BR,1741200775
335,novodvinsk,64.4165,40.8122,-1.14,96,100,4.42,RU,1741200776
336,tarko-sale,64.9225,77.785,-9.5,95,100,4.13,RU,1741200779
337,manggar,-2.8833,108.2667,25.87,83,100,0.47,ID,1741200781
338,inderbor,48.55,51.7833,0.85,98,100,9.56,KZ,1741200782
339,isla vista,34.4133,-119.861,12.2,95,100,3.6,US,1741200783
340,hastings,50.8552,0.5729,8.33,74,0,1.67,GB,1741200784
341,cabo san lucas,22.8909,-109.9124,23.75,47,100,1.79,MX,1741200603
342,karbala,32.616,44.0249,13.04,73,0,6.01,IQ,1741200786
343,huarmey,-10.0681,-78.1522,25.15,76,95,4.42,PE,1741200788
344,atlantic,39.4668,-74.6663,13.89,72,75,10.29,US,1741200789
345,springs,-26.25,28.4,21.13,64,96,1.37,ZA,1741200790
346,balabac,7.9868,117.0645,26.87,84,100,3.33,PH,1741200791
347,hamilton,39.1834,-84.5333,7.0,76,100,11.83,US,1741200559
348,voi,-3.3945,38.563,24.22,69,97,3.3,KE,1741200794
349,st. john's,47.5649,-52.7093,2.38,79,75,8.75,CA,1741200795
350,ouallam,14.3188,2.0866,31.46,8,0,2.94,NE,1741200796
351,uporovo,56.3109,66.2693,-14.94,97,84,3.09,RU,1741200797
352,villa emilio carranza,19.9667,-96.6,27.22,40,4,6.14,MX,1741200798
353,urengoy,65.9667,78.3667,-12.15,96,100,3.32,RU,1741200799
354,notodden,59.5594,9.2585,10.98,70,100,3.34,NO,1741200686
355,jabor,5.921,169.6434,27.69,76,88,9.58,MH,1741200802
356,akureyri,65.6835,-18.0878,-0.04,93,75,5.14,IS,1741200803
357,sesheke,-17.4759,24.2968,22.29,85,100,2.42,ZM,1741200804
358,al jawf,29.5,38.75,14.35,44,6,4.49,SA,1741200805
359,villanueva,15.3167,-88.0,23.55,83,20,3.09,HN,1741200806
360,ingeniero jacobacci,-41.3427,-69.5448,26.41,21,8,9.55,AR,1741200543
